Unnamed: 0,gene_name,n_syn,n_mis,n_non,n_spl,n_ind,wmis_cv,wnon_cv,wspl_cv,wind_cv,pmis_cv,ptrunc_cv,pallsubs_cv,pind_cv,qmis_cv,qtrunc_cv,qallsubs_cv,qind_cv,pglobal_cv,qglobal_cv
18057,TP53,8,95,30,19,63,26.5708626122606,125.604626114187,125.604626114187,903.482998967596,0.0,0.0,0.0,1.51263700103783e-81,0.0,0.0,0.0,3.0390389987851e-77,0.0,0.0
3015,CASP8,1,23,11,2,6,15.1257301729208,68.9488303080348,68.9488303080348,67.2380548569177,1.6482815112794898e-11,3.33066907387547e-16,0.0,1.37083113961123e-07,1.65578119215581e-07,9.5594960518903e-13,0.0,0.0003060152047325,0.0,0.0
3523,CDKN2A.p16INK4a,1,17,9,4,13,17.7831438243322,243.631136626693,243.631136626693,436.546754781099,9.765410702300409e-11,0.0,0.0,8.88022024582499e-22,6.53989554733059e-07,0.0,0.0,8.92062524794349e-18,0.0,0.0
11521,NOTCH1,6,43,16,3,13,6.09860305841488,37.1742770825183,37.1742770825183,30.612993595321,1.6258528967583201e-09,0.0,0.0,2.81491475881391e-08,6.92940413928866e-06,0.0,0.0,7.06930655241629e-05,0.0,0.0
11664,NSD1,1,22,23,1,18,3.43110197268134,35.9476195501374,35.9476195501374,32.5232798150758,0.0039553594650557,0.0,0.0,8.877306865372011e-10,0.825765404373043,0.0,0.0,3.56707944464378e-06,0.0,0.0
9207,KMT2D,1,22,23,6,17,2.85874196708159,39.3202662003374,39.3202662003374,19.0372224615592,0.0152740789304081,0.0,0.0,5.40923489093491e-07,0.825765404373043,0.0,0.0,0.0009879721653979,0.0,0.0
6343,FAT1,9,27,54,3,39,1.25104214985598,32.8958843320861,32.8958843320861,31.3041868799457,0.49588648947772,0.0,0.0,2.2800254929403198e-12,0.848764152770873,0.0,0.0,1.20203962037998e-08,0.0,0.0
776,AJUBA,1,6,6,1,11,4.03662771755414,55.8070263475392,55.8070263475392,95.5654464802269,0.021266593901052,1.5980864409570501e-09,6.25925866692967e-09,2.39319022523513e-12,0.825765404373043,4.0133943356585e-06,1.39727517641427e-05,1.20203962037998e-08,0.0,0.0
3522,CDKN2A.p14arf,7,12,0,1,5,6.72028450002468,9.49573474623064,9.49573474623064,198.191099490292,1.34265874112138e-05,0.103845102985593,3.26546355784441e-05,4.696724558921161e-09,0.0224794639732248,0.878855561841508,0.028524534061153,1.57269821855475e-05,4.67870187037533e-12,1.04444221419679e-08
6426,FBXW7,2,13,4,0,8,5.28404768120389,12.5652443003612,12.5652443003612,53.6013610706779,0.0003087800474571,0.0008192255258994,4.66468592704716e-05,2.65047845412342e-08,0.310184996673088,0.485309237755139,0.036045463446271,7.06930655241629e-05,3.5136116238732003e-11,7.05919711352365e-08
19947,ZNF750,1,8,5,0,6,3.62110596455506,32.6926644475313,32.6926644475313,41.024820992129,0.0191182467973519,2.86503593349696e-06,6.53857589871798e-06,2.06490560637991e-06,0.825765404373043,0.0044278028415298,0.0075150521222411,0.0029632870384127,3.5142111443065005e-10,6.41854691820563e-07
7949,HLA-B,0,6,2,2,4,7.03246069021121,49.9099584732851,49.9099584732851,57.3051481915291,0.0022874868458636,5.08123993847587e-06,1.91897276657915e-06,1.18279985915474e-05,0.705690150577082,0.0068058127735945,0.0025702721235561,0.0148522699814237,5.78987857657864e-10,9.6937042068368e-07
5773,EPHA2,2,7,4,2,7,2.37882211753968,24.283840567982,24.283840567982,28.2694009883098,0.114402425463558,1.70780455455155e-06,9.24037266369915e-06,5.3140378766801e-06,0.825765404373043,0.0031192273914086,0.0088403965326847,0.0071176223320253,1.2146822436776e-09,1.74928708413751e-06
12977,PIK3CA,0,28,0,0,2,11.350981919842,0.0,0.0,12.1814833995669,1.7245045391689502e-09,0.407708728312059,2.68147903881299e-09,0.0183792960575534,6.92940413928866e-06,0.878855561841508,6.73419942109899e-06,1.0,1.2189547149432701e-09,1.74928708413751e-06
7948,HLA-A,3,6,4,2,1,4.14080458231906,41.9631315329651,41.9631315329651,12.2392900643518,0.0145952803647463,5.55847743388682e-08,1.02174137150968e-07,0.0761745989733868,0.825765404373043,0.0001240837445824,0.000171065049125,1.0,1.53103294708856e-07,0.000205066552933
8945,KEAP1,1,18,1,0,1,11.4920186900094,8.81956568283537,8.81956568283537,9.4957661868993,1.89969862063322e-08,0.117581223766269,9.72211496863551e-08,0.0962931574243757,5.45240642673457e-05,0.878855561841508,0.000171065049125,1.0,1.82428649520006e-07,0.0002290733748441
1822,B2M,0,3,0,0,4,8.30604729464477,0.0,0.0,137.496324607949,0.0126722044112725,0.785111098990787,0.0422477444178082,4.0567356424793e-07,0.825765404373043,0.878855561841508,0.944133487671733,0.0008150387579305,3.23613342456675e-07,0.0003824538625468
13874,PTEN,0,4,5,1,1,3.72478146818058,47.349298184968,47.349298184968,12.2308858258079,0.0667041488782356,6.70037373362575e-08,3.32923482893044e-07,0.0762233860483286,0.825765404373043,0.0001346172086822,0.0005145204380618,1.0,4.69198296992879e-07,0.0005237034991602
8107,HRAS,0,9,0,0,0,29.1168500314578,0.0,0.0,0.0,9.535450318232112e-09,0.827877978479684,6.6070170889887e-08,1.0,3.19294553906002e-05,0.880047432044197,0.0001327415803348,1.0,1.15837847314282e-06,0.0012248937844164
11333,NFE2L2,1,17,0,0,1,10.0049491907246,0.0,0.0,6.6957521126982,1.85676921504729e-07,0.564076785900778,7.4767776903073e-07,0.131816725474889,0.0004663043787439,0.878855561841508,0.001072971004114,1.0,1.68853158011295e-06,0.0016756232247097
1467,ARID2,2,7,8,1,3,1.29555973649729,12.9878477038467,12.9878477038467,8.71038153251171,0.633491838733939,2.19998620998307e-06,7.12691729676251e-06,0.0143765283478418,0.899596022901016,0.0036833269120641,0.0075361523899608,1.0,1.7514353550796e-06,0.0016756232247097
14210,RASA1,0,6,5,1,3,2.47369436327429,19.8120997860134,19.8120997860134,14.3727324254967,0.143079509945976,1.02088333553407e-05,5.71971627904011e-05,0.0042227765661801,0.825765404373043,0.0128191044338844,0.0411850845506739,1.0,3.92155959028084e-06,0.0035812751694696
9268,KRT5,1,5,1,0,6,1.97585701826113,5.37466808471486,5.37466808471486,43.7519458487475,0.276237234453041,0.202309407551919,0.29363859156466,1.46018169491688e-06,0.825765404373043,0.878855561841508,0.944133487671733,0.0024190329088516,6.71548064612448e-06,0.0058661183330994
14249,RB1,1,4,4,2,3,1.49510934626225,14.2659952484387,14.2659952484387,18.7986500700371,0.545020045595357,4.45415645368152e-05,0.0002172293607799,0.0020999204881986,0.866797475474529,0.0447442286554577,0.136386096482185,1.0,7.11635262395927e-06,0.0059572766903319
17445,TGFBR2,1,10,3,1,1,5.76705005005819,28.7000217624682,28.7000217624682,6.22237749441202,0.0007041473642203,3.79482600859626e-05,5.92451634329194e-06,0.140582561923391,0.445889068413309,0.0423565829659486,0.0074393411158174,1.0,1.24918992154832e-05,0.0100389898855309
6655,FOSL2,0,2,0,0,5,2.45453282851084,0.0,0.0,59.2329733634015,0.322661862214342,0.725760701712144,0.568826327121636,1.56524950550352e-06,0.825765404373043,0.878855561841508,0.944133487671733,0.0024190329088516,1.3294467070768e-05,0.0102730437661077
14204,RARG,0,11,0,0,1,10.4486137490336,0.0,0.0,9.19534118813548,8.08777912353342e-06,0.665092923644948,3.64988432955959e-05,0.0991607432215627,0.016249157037091,0.878855561841508,0.0305540941938258,1.0,4.8965745811147e-05,0.0364359555219168
5752,EP300,0,20,6,1,1,4.80316699772074,14.1542906351768,14.1542906351768,2.12908916632804,0.000544483560922,2.22055433238832e-05,1.48676879726528e-05,0.330215767070994,0.418628701916725,0.0262430335835375,0.0135775781390258,1.0,6.49254395955756e-05,0.0460968026467307
13313,POM121L12,3,16,3,0,1,4.65767545430313,13.6354214577814,13.6354214577814,12.9039697839772,0.0002603408314035,0.0023868426284861,7.01512858256592e-05,0.0725043194333889,0.290583757984966,0.878855561841508,0.046980316117444,1.0,6.70826561749438e-05,0.0460968026467307
13796,PSIP1,2,6,0,1,4,3.29108570468144,3.37881383729032,3.37881383729032,38.3575543234677,0.0418333287860624,0.327892304587388,0.0986413409361488,5.30199234005531e-05,0.825765404373043,0.878855561841508,0.944133487671733,0.0626601930023831,6.88320182868907e-05,0.0460968026467307
13794,PSG8,1,12,1,0,0,10.685862762932,8.04069490209659,8.04069490209659,0.0,1.6632456936172e-06,0.130235332863847,6.73291215969041e-06,1.0,0.0037129188033847,0.878855561841508,0.0075150521222411,1.0,8.69118154299686e-05,0.0563272672194677
4580,CUL3,1,9,3,2,1,4.09926955153363,18.0544744200036,18.0544744200036,6.55717059809054,0.0078765385745018,5.07416892522317e-05,5.73979576635741e-05,0.134267758324099,0.825765404373043,0.0485452989888851,0.0411850845506739,1.0,9.84408619973953e-05,0.060882999690478
19327,ZBTB22,1,8,0,0,3,5.64018287559411,0.0,0.0,23.5151872325918,0.0018704597265567,0.690391852314996,0.0068026922686094,0.0011523944831062,0.655868672028043,0.878855561841508,0.944133487671733,0.890490675387987,0.0001000019406592,0.060882999690478
16238,SMAD4,0,6,5,0,0,4.53139375289752,32.2123932985453,32.2123932985453,0.0,0.0161328988842218,4.09273907453489e-06,8.18809326974534e-06,1.0,0.825765404373043,0.0058733729104628,0.0082253490941226,1.0,0.0001040938336618,0.0615102709441146
9205,KMT2B,3,4,2,3,4,0.584524001041414,8.49645262744268,8.49645262744268,7.47841789055281,0.374351316933107,0.0011737289749391,0.0010049233689274,0.011813223808267,0.826731031671973,0.637334833391969,0.440409816028253,1.0,0.000146509265785,0.0841005045396569
